timestamp,nope,sigma,stock_price,put_net_delta_volume,call_net_delta_volume,totalVolume,date,time,volume
2021-01-22 16:52:03.428000+00:00,37.97942854591083,1.2550802745835383,383.53999999999996,-19196172.8,26714497.3,19795781.000000022,2021-01-22,16:52:03,115584.00000013039
2021-01-22 16:53:03.416999+00:00,42.05588902984752,1.3694641748766643,383.655,-19104242.3,27453922.2,19853770.99999988,2021-01-22,16:53:03,57989.99999985844
2021-01-22 16:54:03.196999+00:00,46.58474185913391,1.4965420289386937,383.59000000000003,-18951713.7,28247985.9,19955615.999999944,2021-01-22,16:54:03,101845.00000006333
2021-01-22 16:55:03.376000+00:00,42.26408624031961,1.3753061078618574,383.555,-19426709.5,27883808.1,20010129.999999847,2021-01-22,16:55:03,54513.99999990314
2021-01-22 16:56:03.299000+00:00,45.75744989903207,1.4733285373691127,383.615,-19252468.9,28435176.9,20068224.999999937,2021-01-22,16:56:03,58095.00000008941
2021-01-22 16:57:03.676000+00:00,36.28517399422505,1.207540148909598,383.455,-20212236.6,27517164.2,20131990.00000003,2021-01-22,16:57:03,63765.00000009313
2021-01-22 16:58:03.587000+00:00,40.37306060408243,1.3222446618649097,383.505,-19954615.3,28110510.1,20201328.999999806,2021-01-22,16:58:03,69338.99999977648
2021-01-22 16:59:03.663000+00:00,42.36733186108883,1.3782031399411097,383.615,-19872696.9,28448162.2,20240748.99999996,2021-01-22,16:59:03,39420.00000015274
2021-01-22 17:00:03.500999+00:00,45.865801752201435,1.4763688483492725,383.65,-19654136.2,28972514.1,20316614.0,2021-01-22,17:00:03,75865.00000004098
2021-01-22 17:01:03.918000+00:00,53.65187286434939,1.6948429842513717,383.775,-19161220.8,30125415.6,20435810.0,2021-01-22,17:01:03,119196.0
2021-01-22 17:02:03.380000+00:00,59.72263368313931,1.8651861785338029,383.78999999999996,-18944938.2,31178475.9,20483922.00000003,2021-01-22,17:02:03,48112.0000000298
2021-01-22 17:03:03.852999+00:00,56.783347983035924,1.7827109616689611,383.755,-19310760.6,31023613.4,20627267.00000011,2021-01-22,17:03:03,143345.00000008196
2021-01-22 17:04:03.375000+00:00,47.86223688845121,1.5323880440378708,383.57,-20310068.7,30233656.9,20733649.000000007,2021-01-22,17:04:03,106381.99999989569
2021-01-22 17:05:03.215000+00:00,35.58133209224917,1.1877906180960465,383.40999999999997,-21387009.7,28797516.3,20826950.999999978,2021-01-22,17:05:03,93301.9999999702
2021-01-22 17:06:03.776000+00:00,27.564588216595148,0.9628438939068321,383.275,-22625328.1,28419503.5,21020359.000000004,2021-01-22,17:06:03,193408.00000002608
2021-01-22 17:07:03.876999+00:00,29.315289524802147,1.0119678936782242,383.43,-22598156.5,28781228.9,21091629.999999903,2021-01-22,17:07:03,71270.99999989942
2021-01-22 17:08:03.796999+00:00,29.87506893354432,1.0276750868003013,383.375,-22628916.1,28945025.2,21141738.999999914,2021-01-22,17:08:03,50109.000000011176
2021-01-22 17:09:03.790000+00:00,27.062311826829717,0.9487502131970813,383.33,-23115058.2,28845047.0,21173315.9999999,2021-01-22,17:09:03,31576.9999999851
2021-01-22 17:10:04.006000+00:00,24.854289854830803,0.8867939729525414,383.33,-23377853.1,28651448.5,21218048.99999988,2021-01-22,17:10:04,44732.99999998137
2021-01-22 17:11:03.801999+00:00,31.050172382187753,1.060648033854098,383.415,-22881337.1,29478829.6,21247844.999999803,2021-01-22,17:11:03,29795.99999992177
2021-01-22 17:12:03.707000+00:00,33.53340904704408,1.1303266916496122,383.46000000000004,-22766467.5,29898592.7,21268714.999999933,2021-01-22,17:12:03,20870.000000130385
2021-01-22 17:13:04.083000+00:00,34.74361699652244,1.1642846573830121,383.485,-22732636.3,30228147.1,21573777.999999948,2021-01-22,17:13:04,305063.0000000149
2021-01-22 17:14:03.784000+00:00,37.00788033158913,1.2278190084643537,383.52,-22641067.6,30632179.2,21592999.999999885,2021-01-22,17:14:03,19221.99999993667
2021-01-22 17:15:04.361999+00:00,36.33160058681476,1.2088428610930368,383.53,-22738973.6,30592052.7,21615009.999999803,2021-01-22,17:15:04,22009.999999918044
2021-01-22 17:16:04.364000+00:00,46.63176619767066,1.4978615136415954,383.675,-21914932.9,32034380.1,21700759.000000063,2021-01-22,17:16:04,85749.00000026077
2021-01-22 17:17:03.665999+00:00,48.348001940428716,1.5460184230125302,383.695,-21871127.4,32380757.4,21737464.999999974,2021-01-22,17:17:03,36705.99999991059
2021-01-22 17:18:03.552000+00:00,42.59796370947208,1.3846745801657463,383.63,-22589970.6,31880440.8,21809658.000000056,2021-01-22,17:18:03,72193.00000008196
2021-01-22 17:19:03.985999+00:00,41.3607966187395,1.3499601513837376,383.655,-22818717.6,31865086.1,21871842.99999997,2021-01-22,17:19:03,62184.99999991432
2021-01-22 17:20:04.312000+00:00,45.32003005794545,1.4610547062633668,383.665,-22478493.0,32410379.4,21915004.00000011,2021-01-22,17:20:04,43161.00000014156
2021-01-22 17:21:03.976999+00:00,46.390679946698974,1.4910967269346338,383.705,-22450564.4,32635808.9,21955368.00000008,2021-01-22,17:21:03,40363.99999996647
2021-01-22 17:22:03.004999+00:00,45.40010136585382,1.4633014761109395,383.69,-22663769.7,32639928.5,21973869.000000156,2021-01-22,17:22:03,18501.00000007823
2021-01-22 17:23:03.680999+00:00,44.78525846344537,1.4460492227106791,383.71500000000003,-22777320.3,32636305.0,22013906.0000002,2021-01-22,17:23:03,40037.0000000447
2021-01-22 17:24:04.126000+00:00,43.14013322376954,1.399887646478972,383.675,-22953252.4,32458255.4,22032855.000000075,2021-01-22,17:24:04,18948.99999987334
2021-01-22 17:25:03.031000+00:00,44.39059687673325,1.4349751716406658,383.665,-22880192.4,32668429.1,22050248.00000015,2021-01-22,17:25:03,17393.000000074506
2021-01-22 17:26:03.391000+00:00,45.21076880341743,1.4579888778337566,383.76,-22855595.3,32835934.0,22075136.000000063,2021-01-22,17:26:03,24887.99999991432
2021-01-22 17:27:03.592999+00:00,48.80802576963779,1.558926513258973,383.735,-22547498.1,33336704.5,22105394.000000067,2021-01-22,17:27:03,30258.000000003725
2021-01-22 17:28:02.904999+00:00,50.74723093397663,1.6133398581300218,383.71500000000003,-22497814.1,33736298.4,22146004.999999974,2021-01-22,17:28:02,40610.99999990687
2021-01-22 17:29:03.408000+00:00,46.48514742997863,1.4937474478801653,383.725,-22722706.0,33031797.1,22177172.00000013,2021-01-22,17:29:03,31167.000000156462
2021-01-22 17:30:04.492000+00:00,46.62141568287993,1.4975710822105852,383.72,-22957243.7,33323835.3,22235686.000000138,2021-01-22,17:30:04,58514.00000000745
2021-01-22 17:31:02.711000+00:00,43.94901729130241,1.4225846197218053,383.685,-23207253.0,32989277.6,22257664.000000022,2021-01-22,17:31:02,21977.999999884516
2021-01-22 17:32:03.572000+00:00,37.599797170468584,1.2444279654129136,383.625,-23903269.2,32287470.5,22298527.999999616,2021-01-22,17:32:03,40863.99999959394
2021-01-22 17:33:03.059000+00:00,43.10115490448674,1.3987939299560213,383.665,-23416395.4,33042966.8,22334834.00000007,2021-01-22,17:33:03,36306.000000454485
2021-01-22 17:34:03.345999+00:00,34.74074728665035,1.1642041344368992,383.565,-24273451.9,32049549.1,22383217.999999914,2021-01-22,17:34:03,48383.99999984354
2021-01-22 17:35:02.734000+00:00,35.11963426848631,1.1748355562116137,383.52,-24237431.2,32193815.6,22655088.999999803,2021-01-22,17:35:02,271870.99999988824
2021-01-22 17:36:03.004999+00:00,36.78838204888444,1.221659971774966,383.585,-24157976.3,32504800.7,22688750.999999754,2021-01-22,17:36:03,33661.99999995157
2021-01-22 17:37:02.656000+00:00,28.69683990781806,0.9946144372656859,383.46500000000003,-25029568.5,31564383.9,22771898.99999992,2021-01-22,17:37:02,83148.00000016764
2021-01-22 17:38:02.881999+00:00,29.276825557642656,1.0108886096763834,383.46500000000003,-25021455.2,31696637.3,22800224.9999999,2021-01-22,17:38:02,28325.99999997765
2021-01-22 17:39:03.860000+00:00,33.334392463458165,1.1247423634945197,383.53499999999997,-24685082.0,32291146.0,22817466.99999984,2021-01-22,17:39:03,17241.999999940395
2021-01-22 17:40:03.220000+00:00,28.702722996736767,0.9947795144592328,383.435,-25207496.9,31763931.9,22842553.99999995,2021-01-22,17:40:03,25087.00000011176
2021-01-22 17:41:03.265999+00:00,32.04995137828596,1.0887014447617935,383.48,-24921369.6,32251334.5,22870439.9999998,2021-01-22,17:41:03,27885.999999847263
2021-01-22 17:42:02.926000+00:00,39.36553675612708,1.2939739334176223,383.615,-24230878.2,33244929.5,22898331.99999998,2021-01-22,17:42:02,27892.00000018254
2021-01-22 17:43:03.608000+00:00,40.134271643127235,1.3155443362249022,383.615,-24227861.3,33432028.4,22933434.99999995,2021-01-22,17:43:03,35102.9999999702
2021-01-22 17:44:02.900000+00:00,33.580698283000906,1.1316536092713918,383.53,-24887020.8,32594312.9,22951553.999999914,2021-01-22,17:44:02,18118.999999962747
2021-01-22 17:45:03.743000+00:00,32.39711725478276,1.0984427846224063,383.51,-25045137.9,32497740.3,23003905.999999985,2021-01-22,17:45:03,52352.00000007078
2021-01-22 17:46:03.403000+00:00,33.453174625964394,1.128075344909709,383.495,-24958535.6,32659252.0,23019388.99999988,2021-01-22,17:46:03,15482.999999895692
2021-01-22 17:47:03.124999+00:00,27.942619768069754,0.9734513126373503,383.425,-25544217.2,31981960.4,23039153.999999877,2021-01-22,17:47:03,19764.999999996275
2021-01-22 17:48:02.703000+00:00,32.788865479116176,1.1094350878738999,383.545,-25092134.1,32662951.0,23089596.999999862,2021-01-22,17:48:02,50442.9999999851
2021-01-22 17:49:02.988000+00:00,35.88240460707111,1.1962385961034616,383.555,-24810147.6,33103396.6,23112299.99999973,2021-01-22,17:49:02,22702.999999869615
2021-01-22 17:50:03.164000+00:00,36.15896742387999,1.2039988414897,383.55,-24803587.4,33173920.1,23148704.999999788,2021-01-22,17:50:03,36405.00000005588
2021-01-22 17:51:03.296000+00:00,37.91704878491269,1.2533299226813337,383.625,-24625862.8,33410485.8,23168002.999999907,2021-01-22,17:51:03,19298.00000011921
2021-01-22 17:52:03.505999+00:00,38.464907837917195,1.2687026352442277,383.565,-24575340.8,33498989.4,23199454.000000007,2021-01-22,17:52:03,31451.000000100583
2021-01-22 17:53:03.287000+00:00,43.811868680511466,1.418736282890412,383.65999999999997,-24096373.4,34277087.6,23237342.99999995,2021-01-22,17:53:03,37888.99999994412
2021-01-22 17:54:03.067000+00:00,39.329145801036184,1.2929528173304945,383.615,-24545937.5,33691517.4,23253949.999999862,2021-01-22,17:54:03,16606.999999910593
2021-01-22 17:55:03.708999+00:00,39.303365029866875,1.2922294188894867,383.575,-24572409.3,33719687.0,23273522.999999937,2021-01-22,17:55:03,19573.000000074506
2021-01-22 17:56:03.840999+00:00,29.919063106461447,1.0289095462310407,383.545,-25520478.8,32497055.9,23318166.999999765,2021-01-22,17:56:03,44643.99999982864
2021-01-22 17:58:02.961999+00:00,29.253299131843608,1.0102284672922106,383.475,-25658849.3,32568257.4,23619243.99999991,2021-01-22,17:58:02,301077.0000001453
2021-01-22 17:59:02.609999+00:00,30.02688780070827,1.0319350653362704,383.485,-25603284.0,32704235.5,23648642.999999832,2021-01-22,17:59:02,29398.99999992177
2021-01-22 18:00:03.860999+00:00,27.951681599568374,0.973705584114946,383.485,-25835511.8,32494225.4,23822228.999999844,2021-01-22,18:00:03,173586.00000001118
2021-01-22 18:01:02.988000+00:00,21.031553493697235,0.7795294731488924,383.355,-26662217.6,31679490.7,23855931.999999814,2021-01-22,18:01:02,33702.9999999702
2021-01-22 18:02:03.303000+00:00,27.869887189170633,0.9714104646797552,383.455,-26003766.3,32673442.5,23931478.99999978,2021-01-22,18:02:03,75546.99999996647
2021-01-22 18:03:02.990000+00:00,26.473798144547345,0.9322367475028623,383.44,-26322657.3,32664516.8,23955230.999999885,2021-01-22,18:03:02,23752.000000104308
2021-01-22 18:04:03.012000+00:00,28.272681461285114,0.9827127157482342,383.485,-26209091.4,32986556.4,23971779.999999814,2021-01-22,18:04:03,16548.99999992922
2021-01-22 18:05:03.343000+00:00,22.747807815021577,0.8276869038271925,383.405,-26839750.8,32313239.6,24061609.999999948,2021-01-22,18:05:03,89830.00000013411
2021-01-22 18:06:03.004999+00:00,14.802227297488468,0.6047369958690937,383.295,-27758087.9,31328065.1,24117837.999999706,2021-01-22,18:06:03,56227.999999757856
2021-01-22 18:07:03.206000+00:00,9.852638078135412,0.46585344186695354,383.27,-28431212.2,30812736.8,24171440.99999966,2021-01-22,18:07:03,53602.9999999553
2021-01-22 18:08:03.172000+00:00,7.824544802316526,0.40894593105934246,383.225,-28791508.9,30684247.9,24189764.99999895,2021-01-22,18:08:03,18323.99999928847
2021-01-22 18:09:03.228999+00:00,-0.273810518591967,0.18170922136590203,383.145,-29891320.2,29824867.8,24269484.000001483,2021-01-22,18:09:03,79719.0000025332
2021-01-22 18:10:03.499000+00:00,-6.158921831165136,0.016575280231450946,383.025,-30690462.6,29176377.4,24583607.99999909,2021-01-22,18:10:03,314123.99999760836
2021-01-22 18:11:04.104999+00:00,-8.229091401551495,-0.04151287508417759,383.055,-31176472.8,29143302.3,24707107.999999497,2021-01-22,18:11:04,123500.00000040606
2021-01-22 18:12:03.703000+00:00,0.4703683286225154,0.2025905912198375,383.145,-30317304.3,30434027.8,24815340.000001166,2021-01-22,18:12:03,108232.00000166893
2021-01-22 18:13:03.375000+00:00,-4.536319729418578,0.06210486594752765,383.11,-30447742.4,29318124.8,24901630.999999672,2021-01-22,18:13:03,86290.99999850616
2021-01-22 18:14:03.463000+00:00,0.18840416654371783,0.1946787861800129,383.145,-30470826.6,30517798.5,24931455.000014037,2021-01-22,18:14:03,29824.00001436472
2021-01-22 18:15:02.956000+00:00,1.3565702436912934,0.2274570732800077,383.165,-30343642.1,30682428.1,24973716.000002097,2021-01-22,18:15:02,42260.999988060445
2021-01-22 18:16:03.304000+00:00,4.990055826204543,0.3294112696286362,383.205,-29938404.7,31187076.1,25023194.999999568,2021-01-22,18:16:03,49478.99999747053
2021-01-22 18:17:03.047000+00:00,6.666974480736609,0.3764649567514519,383.235,-29896708.1,31566624.4,25047587.999999277,2021-01-22,18:17:03,24392.999999709427
2021-01-22 18:18:03.171000+00:00,2.956231329774755,0.27234294299329936,383.205,-30387004.3,31128428.3,25080039.999998633,2021-01-22,18:18:03,32451.999999355525
2021-01-22 18:19:03.167000+00:00,4.619202359087051,0.3190052651614564,383.21500000000003,-30222083.8,31382406.6,25119548.999999415,2021-01-22,18:19:03,39509.00000078231
2021-01-22 18:20:02.856000+00:00,5.763885527684679,0.35112463095441176,383.275,-30120208.0,31569475.4,25143930.999999598,2021-01-22,18:20:02,24382.00000018254
2021-01-22 18:21:03.011000+00:00,11.477171578886274,0.5114372218900781,383.345,-29492422.5,32389741.5,25244189.999999557,2021-01-22,18:21:03,100258.99999995902
2021-01-22 18:22:03.400999+00:00,14.243183274278284,0.5890504373798553,383.385,-29211455.8,32860496.4,25619557.999999814,2021-01-22,18:22:03,375368.00000025705
2021-01-22 18:23:03.067000+00:00,17.681799131278318,0.6855366648027243,383.405,-28898214.2,33434346.8,25654248.00000009,2021-01-22,18:23:03,34690.00000027567
2021-01-22 18:24:03.137999+00:00,22.260194733016224,0.8140046698466336,383.455,-28401202.8,34124520.8,25710997.000000168,2021-01-22,18:24:03,56749.00000007823
2021-01-22 18:25:02.870000+00:00,26.647611592947833,0.9371138854586426,383.51,-27956963.7,34818190.2,25747998.000000104,2021-01-22,18:25:02,37000.99999993667
2021-01-22 18:26:02.795000+00:00,28.022912554993233,0.9757042971001956,383.545,-27857866.5,35082813.4,25782283.999999955,2021-01-22,18:26:02,34285.99999985099
2021-01-22 18:27:03.616000+00:00,29.164049912824634,1.0077241688181464,383.555,-27786537.1,35314140.6,25811242.000000153,2021-01-22,18:27:03,28958.00000019744
2021-01-22 18:28:03.704999+00:00,27.653647657020276,0.9653428672671508,383.52,-27992019.8,35137073.6,25837653.999999985,2021-01-22,18:28:03,26411.999999832362
2021-01-22 18:29:02.956000+00:00,25.138411392440396,0.8947663131131114,383.505,-28328136.5,34828124.0,25856795.000000164,2021-01-22,18:29:02,19141.000000178814
2021-01-22 18:30:03.014000+00:00,19.918932766063623,0.7483097670152994,383.425,-28979362.4,34135365.0,25884934.00000029,2021-01-22,18:30:03,28139.00000012666
2021-01-22 18:31:02.718000+00:00,15.331064286998242,0.6195759567072437,383.375,-29533807.6,33509668.0,25933362.000000168,2021-01-22,18:31:02,48427.999999877065
2021-01-22 18:32:03.401999+00:00,16.619456224990365,0.6557277348379225,383.365,-29452801.9,33767084.6,25959228.999999993,2021-01-22,18:32:03,25866.99999982491
2021-01-22 18:33:02.959000+00:00,21.393246646578348,0.7896784427510475,383.43,-28941289.5,34502754.7,25996359.00000016,2021-01-22,18:33:02,37130.00000016764
2021-01-22 18:34:03.084000+00:00,18.67064868828772,0.7132833998881175,383.385,-29328884.6,34186446.5,26017103.000000183,2021-01-22,18:34:03,20744.00000002235
2021-01-22 18:35:03.124999+00:00,24.73749864148165,0.8835168567985926,383.485,-28720202.6,35166252.5,26057808.000000414,2021-01-22,18:35:03,40705.00000023097
2021-01-22 18:36:03.471000+00:00,28.51164052832736,0.9894178144990756,383.545,-28427322.9,35864163.5,26083524.000000026,2021-01-22,18:36:03,25715.99999961257
2021-01-22 18:37:03.025999+00:00,26.461871444269132,0.9319020889183319,383.505,-28715668.4,35624109.4,26107152.000000235,2021-01-22,18:37:03,23628.000000208616
2021-01-22 18:38:03.755000+00:00,36.444140196628716,1.2120006789005962,383.635,-27661023.9,37190537.9,26148274.99999995,2021-01-22,18:38:03,41122.99999971688
2021-01-22 18:39:03.025999+00:00,33.693844154007486,1.1348284385329028,383.605,-28019032.6,36838978.2,26176727.000000007,2021-01-22,18:39:03,28452.00000005588
